All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track
3485,0.005260232837420005,0.015855768293812935,0.0096884945739349,0.02415814038372673,0.6584417829700242,0.006543391529134795,0.01938701055031014,0.0007621678499339825,0.0026261658509541446,0.0018456634603278678,0.08466171955638989,0.010383628123749829,0.0007244868686755052,0.03514083141038192,0.003204819357862064,0.004771436999190566,0.04317340927920422,3.34826421452584e-05,3.9941679857119876e-05,0.0007766298400621796,0.03265837124888489
3486,0.03155342544836012,0.040661269749559185,0.05920991343025215,0.018579178124819164,0.6584417829700242,0.021653275203762923,0.03701263500913496,0.0010998368554740526,9.279531522640338e-05,0.00011267098386712844,0.008071303358058633,0.05176131614645018,0.0658771184772276,0.0,0.012713199459376894,0.0015922079842193787,0.05274167518641218,0.15519824807250485,0.018536907170245722,0.00953458161850079,0.9704980811106045
3480,0.005260232837420005,0.005059768933454342,0.005000076220674095,0.05091958988884543,0.6584417829700242,0.024938596333445313,0.047177660912049925,0.022441504244317755,0.004933618034476752,0.005119018806414691,0.0457141926625027,0.03624468313793755,0.00417423684195724,0.03514083141038192,0.020636849543972585,0.05190812560950594,0.114988705543999,0.05704942737130292,0.023100021082352516,0.000573649367507952,0.03265837124888489
3488,0.005260232837420005,0.23250495288280523,0.23644500000846896,0.1698154510172512,0.8105643298173824,0.0173590566577447,0.048200968962956454,0.0007502797377687584,0.0010155635889239963,0.000753552897160216,0.00056340700267737,0.0912047047984501,0.00015862212497398483,0.03514083141038192,0.049666789308991585,0.005311170629212105,0.114988705543999,0.012684074243079477,0.0019185232053224538,0.015307240886809646,0.03265837124888489
3490,0.005260232837420005,0.002239927703819023,0.007730470146055749,0.13363273199468514,0.6584417829700242,2.0728852861669273e-05,9.682054676759797e-05,0.022441504244317755,0.004933618034476752,0.005119018806414691,0.0457141926625027,0.025900261132262462,0.002054775257198463,0.00028180921516133574,0.049666789308991585,0.007174967496993486,0.16756086607290765,3.2064245110332947e-06,4.761259850517601e-06,0.0003650818590390657,0.03265837124888489
3482,0.005260232837420005,0.0005553392422701919,0.0009197294674207433,0.009668784784773688,0.6584417829700242,1.5971445368525845e-05,8.874815574752474e-05,0.022441504244317755,0.004933618034476752,0.005119018806414691,0.0457141926625027,0.019003979795145735,0.006470320225445914,0.00028180921516133574,0.0016200893409429255,0.005227453200245513,0.17234499902651165,0.0013959903245399068,7.32704988107431e-05,0.00014480341372626079,0.03265837124888489
3487,0.005260232837420005,0.05398951690175435,0.056725119454734234,0.03348149244364676,0.5579834362405588,0.019250298839951226,0.02939890986451639,3.5897436734205985e-06,1.7044227016727735e-07,3.1127333751709317e-07,0.007605881225692618,0.03624468313793755,0.003642121486548056,0.04170776384387769,0.01588265949321517,0.0017981922803235473,0.0479575422328082,9.713696688315057e-05,5.396094497253282e-05,0.001425717841528567,0.03265837124888489
3498,0.005260232837420005,0.004144494704787619,0.004803596260783108,0.001078883577686778,0.6584417829700242,0.010560627615869813,0.022415344771178528,0.013610699617965025,0.0026635182680713157,0.0032131761648297084,0.0457141926625027,0.008659557789470647,1.743718395104089e-05,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.114988705543999,0.05704942737130292,0.023100021082352516,0.0002841744814573239,0.9704980811106045
3479,0.005260232837420005,0.011293464522917384,0.011986971346107917,0.018011910213274536,0.6584417829700242,0.005981513608448344,0.01156767213780056,0.022441504244317755,1.5245488097571745e-05,2.4891898399737578e-05,0.00418520714022586,0.01210769845802901,0.0002069962481930015,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.02882101041839229,4.54324321938355e-05,1.6664409476811608e-05,0.0003164182302579652,0.03265837124888489
3491,0.005260232837420005,0.006813120497783772,0.0025576270640981997,0.012828399087725522,0.6584417829700242,0.00520573620433054,0.018566049988417804,0.022441504244317755,0.004933618034476752,0.005119018806414691,0.025003607240293203,3.920611807474005e-05,0.030084259019234432,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.033605143371996264,0.05704942737130292,0.023100021082352516,0.011598792572359793,0.03265837124888489
3493,0.005260232837420005,0.01736253338673773,0.020711697840922375,0.015012055972604122,0.6584417829700242,0.005219903542558956,0.012713373916971589,0.056360770544540105,0.00714188486972436,0.009150384652052902,0.05877158601884124,0.0912047047984501,0.0015277223100331307,0.0001409046075806679,0.05074671986543621,0.0032476345573015097,0.03838927632560024,1.2366563743810492e-07,0.023100021082352516,0.0009256553786490294,0.03265837124888489
3483,0.005260232837420005,0.00011162877760191151,0.00018631720334490192,0.00029142336422984633,0.3054025426637353,0.01445999873898008,0.03448846413597154,0.022441504244317755,0.004933618034476752,0.005119018806414691,0.00099116301237494,0.0912047047984501,8.999836877956586e-05,0.03514083141038192,3.535932402378718e-05,5.083214398219307e-05,0.114988705543999,0.05704942737130292,0.023100021082352516,0.011598792572359793,0.03265837124888489
3524,0.005118592545925969,0.10319189042436185,0.0005775833303691961,0.00044039985101512725,0.6584417829700242,0.12556570912121237,0.0405249114789304,0.022441504244317755,0.004933618034476752,0.005119018806414691,0.022284100151557656,0.0912047047984501,0.030084259019234432,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.114988705543999,0.05704942737130292,0.023100021082352516,0.011598792572359793,0.03265837124888489
3525,0.03155342544836012,0.07575125578158959,0.02205487549776335,0.0161166348781168,0.7789917181202793,0.005946331007385425,0.008039716292206688,0.010473356887490836,0.0055946358418956935,0.00692180709012791,0.006202242104337754,0.01210769845802901,0.003029570089042136,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.114988705543999,0.05704942737130292,0.023100021082352516,0.0004429045376386098,0.03265837124888489
3508,0.005118592545925969,0.035796381653332446,0.10508629027204006,0.012579690727740893,0.6632254752309019,0.006446763665887144,0.01482062104001476,0.008414289240426321,0.0026082113914988603,0.0033318501291215116,1.3092021302407205e-05,0.017279909460866556,0.0025897030616320077,0.0023953783288713543,0.049666789308991585,0.0005483647205915766,0.01925274451118433,4.430099409661173e-06,0.023100021082352516,0.002870994858461954,0.03265837124888489
3519,0.005118592545925969,0.006117319607942691,0.0021189347398588394,0.005588339281078119,0.6584417829700242,0.005126249503159718,0.009121448785878688,0.022441504244317755,0.004933618034476752,0.005119018806414691,0.0454736412150508,0.0912047047984501,0.00044886686428808475,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.057525808140016156,0.05704942737130292,0.023100021082352516,0.00024289502147874082,0.03265837124888489
3517,0.005118592545925969,0.020900878935965074,0.012862662201828957,0.013809704457874076,0.6842738830289705,0.003967878305630521,0.004831655019581245,0.02090221493944557,0.0012555412785292504,0.001999061301212321,0.0001820667127930653,0.006935487455191467,0.00017380934970553659,0.03514083141038192,3.535932402378718e-05,0.0049582918109063335,0.033605143371996264,0.004147502247812559,0.00042057795346238814,0.0008500347565500512,0.03265837124888489
3500,0.005118592545925969,0.061008574725773895,0.05019893595938962,0.03287086914585502,0.6584417829700242,0.06179493837453601,0.10612881603829707,0.005511655140131822,0.0015510907735942806,0.0010773922122721575,0.02174014111832654,0.05176131614645018,0.0015271598202282585,0.0021135691137100184,0.03172995966240655,0.004600578751968786,0.10058300472245198,0.048600682967327676,0.014047568160079906,0.007178927127316929,0.9704980811106045
3503,0.005118592545925969,0.013665604366686178,0.01951588015399964,0.044257497709690924,0.6584417829700242,5.945037843384018e-05,0.0004287354395651218,0.022441504244317755,0.00032109675082705384,0.0002687962941835038,0.0457141926625027,0.0034873467866331025,0.0016447201894465664,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.114988705543999,0.05704942737130292,0.023100021082352516,0.0004220486967324239,0.9704980811106045
3518,0.005118592545925969,0.022417357053350004,0.010484577170044937,0.15200874892940422,0.8210885337164167,0.000981017442838957,0.0028420112392718642,0.022441504244317755,0.004933618034476752,0.005119018806414691,0.00015593726771833208,0.0912047047984501,0.030084259019234432,0.03514083141038192,0.044407799797759655,0.3228986214716761,0.08144647290803605,0.05704942737130292,0.023100021082352516,0.00011129484734884817,0.03265837124888489
3521,0.005118592545925969,0.031524434625010984,0.09864310262182181,0.02151317212603314,0.6632254752309019,0.0005130055968278888,0.0012452987148978173,0.00013682984001934357,0.00023008615914692844,0.0001460195321529328,0.0457141926625027,0.006935487455191467,0.00013893498180345481,0.001268141468226011,0.049666789308991585,0.027211749960799364,0.01925274451118433,0.001508344313948038,0.0001576506039393606,0.011598792572359793,0.9704980811106045
3511,0.005118592545925969,0.09696905968610298,0.0966647526808505,0.059245409756104685,0.6584417829700242,0.037906503017660007,0.0484467676525458,0.002481655069502449,0.00046327150489644113,0.0003094722062870369,0.0037090044649038395,0.09141493383487136,0.0015074726770577284,0.03514083141038192,0.007959009408619478,0.000732190351482283,0.014468611557580353,0.0059924944892320205,0.0009604519176238562,0.0040173518048505505,0.9704980811106045
3504,0.005118592545925969,0.015091047579231633,0.012606899495419138,0.006008578534426554,0.5685076401395931,0.06342270837751478,0.0995193091753685,0.022441504244317755,6.027888335083665e-08,3.657726473309993e-08,0.013166179975206797,0.010383628123749829,0.0001259977162913922,0.03514083141038192,0.049666789308991585,0.027211749960799364,0.004900345650372394,0.05704942737130292,0.023100021082352516,0.0006223493939171611,0.03265837124888489
3522,0.005118592545925969,0.00020572081169542897,0.00012534066406838857,0.0007415471109998862,0.5474592323415245,0.0004551204565536067,0.0017153590190289202,0.022441504244317755,0.004933618034476752,0.005119018806414691,0.0457141926625027,0.0912047047984501,0.030084259019234432,0.03514083141038192,3.535932402378718e-05,0.00266897802845932,0.114988705543999,0.05704942737130292,0.023100021082352516,5.097942786950551e-05,0.03265837124888489
